City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hun,29.1268,15.9477,25.13,41,49,5.61,LY,1696537608
1,yaren,-0.5472,166.916,28.58,70,67,0.79,NR,1696537608
2,grytviken,-54.2811,-36.5092,4.86,94,100,3.02,GS,1696537608
3,bilibino,68.0546,166.4372,-16.14,95,42,1.85,RU,1696537608
4,ushuaia,-54.8,-68.3,4.81,81,100,5.66,AR,1696537608
5,adamstown,-25.066,-130.1015,20.54,76,1,6.19,PN,1696537608
6,stanley,54.868,-1.6985,15.03,89,75,5.66,GB,1696537608
7,ikwiriri,-7.9562,38.9716,24.0,82,5,2.28,TZ,1696537608
8,susuman,62.7833,148.1667,-1.12,75,35,1.79,RU,1696537609
9,weno,7.4515,151.8468,26.97,89,100,2.57,FM,1696537609
10,qarauyl,48.9451,79.255,8.12,85,1,1.61,KZ,1696537609
11,brookings,44.3114,-96.7984,15.19,54,100,11.32,US,1696537511
12,port lincoln,-34.7333,135.8667,13.11,78,100,5.44,AU,1696537609
13,arkhangel'sk,64.5401,40.5433,6.74,79,100,2.75,RU,1696537442
14,tafresh,34.692,50.013,12.34,35,3,1.2,IR,1696537566
15,castillos,-34.1667,-53.8333,18.5,54,21,4.4,UY,1696537609
16,avarua,-21.2078,-159.775,21.03,100,75,6.17,CK,1696537610
17,biysk,52.5364,85.2072,9.5,84,10,1.3,RU,1696537610
18,vilyuysk,63.7553,121.6247,-3.89,90,52,2.68,RU,1696537398
19,arraial do cabo,-22.9661,-42.0278,24.98,88,0,10.29,BR,1696537531
20,yellowknife,62.456,-114.3525,3.56,84,100,7.72,CA,1696537504
21,contamana,-7.3333,-75.0167,38.51,27,99,2.46,PE,1696537610
22,hawaiian paradise park,19.5933,-154.9731,28.35,74,0,2.06,US,1696537610
23,st. john's,47.5649,-52.7093,9.04,84,35,3.13,CA,1696537327
24,bethel,41.3712,-73.414,25.47,66,0,4.12,US,1696537610
25,nogliki,51.8333,143.1667,7.97,86,100,3.58,RU,1696537467
26,estevan,49.1334,-102.9842,11.19,46,75,13.38,CA,1696537610
27,kodiak,57.79,-152.4072,9.73,87,100,4.63,US,1696537610
28,miquelon,47.0975,-56.3814,12.0,71,0,3.49,PM,1696537611
29,albany,42.6001,-73.9662,27.23,44,39,2.24,US,1696537611
30,port elizabeth,-33.918,25.5701,18.39,95,100,4.12,ZA,1696537429
31,sawakin,19.1059,37.3321,30.21,61,0,3.25,SD,1696537534
32,vadso,70.0744,29.7487,3.09,81,75,16.46,NO,1696537611
33,blackmans bay,-43.0167,147.3167,6.07,77,58,3.82,AU,1696537611
34,waitangi,-43.9535,-176.5597,12.12,93,100,0.89,NZ,1696537611
35,yilan,24.757,121.753,28.09,93,100,2.1,TW,1696537611
36,bredasdorp,-34.5322,20.0403,14.82,87,100,6.69,ZA,1696537611
37,minas de marcona,-15.2119,-75.1103,18.62,65,26,5.3,PE,1696537612
38,tsiombe,-25.3,45.4833,21.34,77,0,2.02,MG,1696537612
39,uturoa,-16.7333,-151.4333,25.78,82,1,10.61,PF,1696537612
40,san patricio,28.017,-97.5169,24.92,62,93,5.62,US,1696537612
41,anadyr,64.75,177.4833,1.28,100,75,3.0,RU,1696537612
42,lazaro cardenas,17.9583,-102.2,30.94,66,43,4.1,MX,1696537612
43,chibougamau,49.9168,-74.3659,18.79,88,40,5.14,CA,1696537612
44,igarka,67.4667,86.5833,1.86,98,100,8.77,RU,1696537612
45,port-aux-francais,-49.35,70.2167,2.91,91,98,13.55,TF,1696537612
46,nova vicosa,-17.8919,-39.3719,26.11,77,50,8.0,BR,1696537613
47,kapuskasing,49.4169,-82.4331,20.05,49,40,5.14,CA,1696537613
48,birjand,32.8663,59.2211,22.26,26,40,4.12,IR,1696537613
49,ankazobe,-18.3167,47.1167,15.0,88,5,2.57,MG,1696537613
50,auki,-8.7676,160.7034,25.1,87,86,3.18,SB,1696537613
51,kingston,17.997,-76.7936,32.53,70,40,3.6,JM,1696537613
52,badger,64.8,-147.5333,1.51,62,75,2.57,US,1696537613
53,ivot,53.6756,34.1872,14.52,56,100,4.65,RU,1696537613
54,qarazhal,48.0078,70.7903,12.72,52,16,3.53,KZ,1696537613
55,plastun,44.7561,136.2939,10.05,90,100,3.13,RU,1696537613
56,port alfred,-33.5906,26.891,17.88,96,100,0.89,ZA,1696537614
57,san agustin de valle fertil,-30.6335,-67.4682,24.29,17,0,6.07,AR,1696537614
58,utrik,11.2278,169.8474,28.13,74,100,6.87,MH,1696537614
59,arua,3.0201,30.9111,19.78,78,63,0.75,UG,1696537614
60,puerto deseado,-47.7503,-65.8938,14.4,36,40,6.29,AR,1696537614
61,matonga,-2.3833,34.0833,25.19,44,81,1.62,TZ,1696537614
62,ribeira grande,38.5167,-28.7,22.1,94,75,18.33,PT,1696537614
63,sandnessjoen,66.0217,12.6316,5.23,75,75,4.12,NO,1696537614
64,carutapera,-1.195,-46.02,28.41,67,20,5.42,BR,1696537614
65,enoch,37.7733,-113.0244,21.14,36,0,3.09,US,1696537615
66,edinburgh of the seven seas,-37.0676,-12.3116,11.4,66,93,4.61,SH,1696537615
